Position,"Track Name",Artist,Streams,URL
56,"Pray For Me (with Kendrick Lamar)","The Weeknd",1124115,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
57,"River (feat. Ed Sheeran)",Eminem,1118028,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
58,Everyday,Logic,1116314,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
59,1950,"King Princess",1112426,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
60,"Feel It Still","Portugal. The Man",1098294,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
61,"Te Boté - Remix","Nio Garcia",1052836,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
62,Chun-Li,"Nicki Minaj",1037256,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
63,"Stir Fry",Migos,1034671,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
64,"Lemon - Drake Remix",N.E.R.D,1034046,https://open.spotify.com/track/739vCwA3EpBSkk3uDsI2wB
65,Amorfoda,"Bad Bunny",1029159,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
66,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",1017515,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
67,Criminal,"Natti Natasha",1015508,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
68,Thunder,"Imagine Dragons",1012834,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
69,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",992071,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
70,Downtown,Anitta,986455,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
71,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",984388,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
72,"Too Good At Goodbyes","Sam Smith",981599,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
73,"I Do (feat. SZA)","Cardi B",971441,https://open.spotify.com/track/1f5PNhkNgUpvDEeZfcIlO1
74,"XO TOUR Llif3","Lil Uzi Vert",969992,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
75,"Let You Down",NF,968340,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
76,"Bartier Cardi (feat. 21 Savage)","Cardi B",967234,https://open.spotify.com/track/0dIoGTQXDh1wVnhIiSyYEa
77,"Bodak Yellow","Cardi B",966511,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
78,"Drip (feat. Migos)","Cardi B",962129,https://open.spotify.com/track/2qcG0nZ6S3zZV0UrkY5nFo
79,Corazón,Maluma,957337,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
80,Believer,"Imagine Dragons",955375,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
81,"I Wanna Know (feat. Bea Miller)",NOTD,932226,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
82,Dembow,"Danny Ocean",926236,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
83,Congratulations,"Post Malone",915171,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
84,"Sick Boy","The Chainsmokers",907906,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
85,"Jocelyn Flores",XXXTENTACION,896943,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
86,Silence,Marshmello,891956,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
87,"La Player (Bandolera)","Zion & Lennox",883643,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
88,changes,XXXTENTACION,883585,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
89,"Lost In Japan","Shawn Mendes",877523,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
90,Breathe,"Jax Jones",861982,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
91,"Rewrite The Stars","Zac Efron",851947,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
92,"EL BAÑO","Enrique Iglesias",851900,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
93,Sensualidad,"Bad Bunny",850914,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
94,"I Miss You (feat. Julia Michaels)","Clean Bandit",831345,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
95,"Te Amo","Piso 21",830857,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
96,HUMBLE.,"Kendrick Lamar",830542,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
97,"This Is Me","Keala Settle",813489,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
98,"Him & I (with Halsey)",G-Eazy,812409,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
99,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",807640,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
100,"Young Dumb & Broke",Khalid,806222,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
101,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",800028,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
102,"Capital Letters","Hailee Steinfeld",798292,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
103,"Chasing Fire",Lauv,795378,https://open.spotify.com/track/1xy4apMFecGGkgBeaHFZ2M
104,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",792924,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
105,"Bum Bum Tam Tam","MC Fioti",791798,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
106,"Ring (feat. Kehlani)","Cardi B",788839,https://open.spotify.com/track/5DfWF0jqMgZDCiu9zJENTA
107,"A$AP Forever","A$AP Rocky",788718,https://open.spotify.com/track/1YmF9PvLhIISIANoMLIYGq
108,"What Lovers Do (feat. SZA)","Maroon 5",786906,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
109,"Hurt You","The Weeknd",774715,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
110,Beautiful,Bazzi,772837,https://open.spotify.com/track/5TVirkSwFEXF1nLJEebe2I
111,"Say You Won't Let Go","James Arthur",771457,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
112,"Candy Paint","Post Malone",771337,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
113,Unforgettable,"French Montana",765497,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
114,"El Farsante - Remix",Ozuna,755692,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
115,Solita,Ozuna,754982,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
116,Ahora,"J Balvin",747956,https://open.spotify.com/track/54OB85nuxYGfl7qRQXuz7c
117,"Everybody Hates Me","The Chainsmokers",747403,https://open.spotify.com/track/3pIigjAWkzwAonXpJ1fmSF
118,1942,G-Eazy,742548,https://open.spotify.com/track/794QVQtFNy7hvtjQP1keQd
119,"Dusk Till Dawn - Radio Edit",ZAYN,737421,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
120,"One Dance",Drake,728615,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
121,"I Was Never There","The Weeknd",724858,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
122,Esperándote,"Manuel Turizo",724051,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
123,1-800-273-8255,Logic,723526,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
124,"Whatever It Takes","Imagine Dragons",717723,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
125,"Guatemala (feat. Slim Jxmmi)","Swae Lee",716105,https://open.spotify.com/track/6sTDhYVVXU3HSDuG7mBLRU
126,"Something Just Like This","The Chainsmokers",710636,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
127,Heaven,"Julia Michaels",699277,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
128,"Me Rehúso","Danny Ocean",695418,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
129,GOTTI,6ix9ine,685234,https://open.spotify.com/track/27oFpFktCq9JIXjJQRuv7a
130,"I Like Me Better",Lauv,680622,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
131,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",676403,https://open.spotify.com/track/0eHCArTPhwUxatY7cEXRiK
132,Attention,"Charlie Puth",673431,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
133,Anywhere,"Rita Ora",673121,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
134,Location,Khalid,671722,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
135,Privilege,"The Weeknd",669411,https://open.spotify.com/track/26Fqtv4Aa7kyd1WWGHai6A
136,"You Are The Reason","Calum Scott",668015,https://open.spotify.com/track/2VgJDTfkuwlm7WIHnvtRCQ
137,"Bank Account","21 Savage",667638,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
138,Machika,"J Balvin",666149,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
139,"Best Life (feat. Chance The Rapper)","Cardi B",654836,https://open.spotify.com/track/00B7TZ0Xawar6NZ00JFomN
140,"Sorry Not Sorry","Demi Lovato",653490,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
141,Bickenhead,"Cardi B",652051,https://open.spotify.com/track/17Yq72h0p15OhCbZ5lJ5gd
142,"All Falls Down","Alan Walker",651835,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
143,Youngblood,"5 Seconds of Summer",650688,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
144,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,649647,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
145,"How Long","Charlie Puth",647042,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
146,Closer,"The Chainsmokers",645387,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
147,"Home With You","Madison Beer",643826,https://open.spotify.com/track/11GGSyTB8cS9TgONHBOhEX
148,goosebumps,"Travis Scott",643277,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
149,Betrayed,"Lil Xan",641619,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug
150,"Red Roses (feat. Landon Cube)","Lil Skies",639354,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
151,Alien,"Sabrina Carpenter",633814,https://open.spotify.com/track/0RUTnY2B3s05fZuCHsNaUP
152,"More Than You Know","Axwell /\ Ingrosso",633622,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
153,"Tip Toe (feat. French Montana)","Jason Derulo",630772,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
154,"Se Preparó",Ozuna,625397,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
155,"Madura (feat. Bad Bunny)",Cosculluela,625169,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
156,Barking,Ramz,624149,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
157,"To My Love - Tainy Remix","Bomba Estéreo",621503,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
158,"Nowadays (feat. Landon Cube)","Lil Skies",620676,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
159,Paradise,"George Ezra",619512,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
160,"Báilame - Remix",Nacho,611364,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
161,"Thinking Out Loud","Ed Sheeran",611056,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
162,Photograph,"Ed Sheeran",609409,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
163,"Mi Gente","J Balvin",604650,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
164,"No Limit",G-Eazy,600703,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
165,"Symphony (feat. Zara Larsson)","Clean Bandit",595393,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
166,"Despacito - Remix","Luis Fonsi",589035,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
167,Starboy,"The Weeknd",584921,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
168,Passionfruit,Drake,584014,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
169,"Wonderwall - Remastered",Oasis,582126,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
170,"There's Nothing Holdin' Me Back","Shawn Mendes",576231,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
171,"Plain Jane","A$AP Ferg",574910,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
172,"Butterfly Effect","Travis Scott",573425,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
173,"Quiero Repetir",Ozuna,572481,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
174,"Go Flex","Post Malone",571881,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
175,"Marry Me","Thomas Rhett",571093,https://open.spotify.com/track/0OWZFobGSIW9GrSlQ9C5pc
176,"So Far Away","Martin Garrix",570642,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
177,MotorSport,Migos,569642,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
178,Tequila,"Dan + Shay",568280,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI
179,"That's What I Like","Bruno Mars",564436,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
180,"LOVE. FEAT. ZACARI.","Kendrick Lamar",562555,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
181,"Mr. Brightside","The Killers",561160,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
182,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,559817,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
183,"Get Up 10","Cardi B",559265,https://open.spotify.com/track/7p2ewixAShLpjDZrnzZK7c
184,Halo,Beyoncé,557628,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
185,"Leave a Light On","Tom Walker",557071,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
186,"Everybody Dies In Their Nightmares",XXXTENTACION,552662,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
187,"Bounce Out With That","YBN Nahmir",552242,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
188,"The Greatest Show","Hugh Jackman",551939,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
189,"El Clavo","Prince Royce",551055,https://open.spotify.com/track/0LKErfBZ5FbBiLB4OcZRbL
190,"I'm Yours","Jason Mraz",550967,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
191,Africa,Toto,547169,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
192,"Gucci Gang","Lil Pump",541104,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
193,"Hard 2 Face Reality","Poo Bear",540809,https://open.spotify.com/track/0sPJELXHyWpFgkxlzvvRFI
194,Pineapple,"Karol G",539876,https://open.spotify.com/track/24snQ8Ew7aIKYCt0ulXHvx
195,Stargazing,Kygo,532318,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
196,"Déjate Llevar","Juan Magán",532307,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
197,"Thru Your Phone","Cardi B",528247,https://open.spotify.com/track/74cVJfmK18rhWnscIpGXjt
198,"44 More",Logic,528029,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO
199,"Anybody (feat. Nicki Minaj)","Young Thug",527074,https://open.spotify.com/track/5I30ByMf5nhgbSokY1EZiN
200,Issues,"Julia Michaels",521679,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
